Description,Price,Rating,Reviews Count,URL,Image link
"Samsung Galaxy A23 Peach, 8GB RAM, 128GB Storage with No Cost EMI/Additional Exchange Offers","₹19,999",4.0 out of 5 stars,629,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B09VK8G4XZ/ref=sr_1_44?keywords=samsung+m13&qid=1671030570&sr=8-44,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/91dnhRu+32L._AC_UY218_.jpg
"Nillkin CamShield Pro TPU Slide Camera Cover, Slim Protective Ultra Phone Bumper Case for Samsung Galaxy S21 6.8 Inches 5G 2021 (Blue)","₹1,345",3.9 out of 5 stars,5,https://www.amazon.in/Nillkin-CamShield-Camera-Protective-Samsung/dp/B08R8K3F4F/ref=sr_1_45?keywords=samsung+m13&qid=1671030570&sr=8-45,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/714+LPbb9QL._AC_UY218_.jpg
"SAMSUNG Galaxy F12 (Celestial Black, 128 GB) (4 GB RAM) Dual Sim 4G 48MP Quad Rear Camera 6.515 inch HD+ Display 90 Hz Refresh Rate 5000mAh Huge Battery Power-efficient 8nm Exynos Octa-core Processor","₹13,999",4.0 out of 5 stars,9,https://www.amazon.in/SAMSUNG-Celestial-Power-efficient-Octa-core-Processor/dp/B09RGBMX9N/ref=sr_1_46?keywords=samsung+m13&qid=1671030570&sr=8-46,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/61f5XgsKNIL._AC_UY218_.jpg
"Samsung Galaxy M32 Prime Edition (Light Blue, 6GB RAM, 128GB)","₹15,499",4.1 out of 5 stars,"55,099",https://www.amazon.in/Samsung-Galaxy-Prime-Light-128GB/dp/B0BD3V985M/ref=sr_1_47?keywords=samsung+m13&qid=1671030570&sr=8-47,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81OC0ojxH6L._AC_UY218_.jpg
"Samsung Galaxy Z Flip4 5G (Bora Purple, 8GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","₹94,999",4.2 out of 5 stars,102,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B0B8SST1NL/ref=sr_1_48?keywords=samsung+m13&qid=1671030570&sr=8-48,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/61vZSG1KuoL._AC_UY218_.jpg
"Samsung Galaxy Z Fold3 5G (Phantom Black, 12GB RAM, 256GB Storage) with No Cost EMI/Additional Exchange Offers","₹99,999",4.2 out of 5 stars,179,https://www.amazon.in/Samsung-Phantom-Storage-Additional-Exchange/dp/B09CQ1Q544/ref=sr_1_49?keywords=samsung+m13&qid=1671030570&sr=8-49,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/71MmJNwZcML._AC_UY218_.jpg
"Samsung Galaxy M13 5G (Midnight Blue, 4GB, 64GB Storage) | 5000mAh Battery | Upto 8GB RAM with RAM Plus","₹13,999",4.0 out of 5 stars,"16,878",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDEzNzk5NjIyMDMyMDY3OjE2NzEwMzA1NzM6c3BfYXRmX25leHQ6MjAwNjMyMjA0MDM0OTg6OjA6Og&url=%2FSamsung-Midnight-Storage-5000mAh-Battery%2Fdp%2FB0B4F1YC3J%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dsamsung%2Bm13%26qid%3D1671030573%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/71EjohFmm6L._AC_UY218_.jpg
"Samsung Galaxy A04s (Copper, 4GB RAM, 64GB Storage)","₹12,897",3.0 out of 5 stars,1,https://www.amazon.in/Samsung-Galaxy-A04s-Copper-Storage/dp/B0BGPB3WXD/ref=sr_1_50?keywords=samsung+m13&qid=1671030573&sr=8-50,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/91nPfPJWKIL._AC_UY218_.jpg
"Samsung Galaxy A13 Peach, 4GB RAM, 64GB Storage with No Cost EMI/Additional Exchange Offers (SM-A135FZOGINS)","₹14,499",3.9 out of 5 stars,929,https://www.amazon.in/Samsung-Storage-Additional-Exchange-SM-A135FZOGINS/dp/B09VJVF5WC/ref=sr_1_51?keywords=samsung+m13&qid=1671030573&sr=8-51,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81nTHTbov6L._AC_UY218_.jpg
"(Renewed) Samsung Galaxy F42 5G (Matte Black, 128GB, 6GB RAM)","₹17,499",2.2 out of 5 stars,4,https://www.amazon.in/Renewed-Samsung-Galaxy-Matte-Black/dp/B09WV6PH1Y/ref=sr_1_52?keywords=samsung+m13&qid=1671030573&sr=8-52,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/61VrzOtdoRL._AC_UY218_.jpg
"Samsung Galaxy A53 White, 8GB RAM, 128GB Storage","₹33,499",3.8 out of 5 stars,73,https://www.amazon.in/Samsung-Galaxy-White-128GB-Storage/dp/B09VGJ3FDF/ref=sr_1_53?keywords=samsung+m13&qid=1671030573&sr=8-53,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81eWuJwUagL._AC_UY218_.jpg
"Samsung Galaxy A33 5G Orange, 6GB RAM, 128GB Storage","₹25,999",4.1 out of 5 stars,46,https://www.amazon.in/Samsung-Galaxy-Orange-128GB-Storage/dp/B09WQLSMBY/ref=sr_1_54?keywords=samsung+m13&qid=1671030573&sr=8-54,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81qNbibriTL._AC_UY218_.jpg
"Samsung Galaxy A73 5G Awesome Gray, 8GB RAM, 128GB Storage","₹41,999",3.9 out of 5 stars,116,https://www.amazon.in/Samsung-Galaxy-Awesome-128GB-Storage/dp/B0B4S5368P/ref=sr_1_55?keywords=samsung+m13&qid=1671030573&sr=8-55,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/911GBvUYVNL._AC_UY218_.jpg
"Samsung Galaxy S20 FE 5G (Cloud Navy, 8GB RAM, 128GB Storage) with No Cost EMI & Additional Exchange Offers","₹37,990",4.2 out of 5 stars,"26,896",https://www.amazon.in/Samsung-Galaxy-Cloud-128GB-Storage/dp/B08VB57558/ref=sr_1_56?keywords=samsung+m13&qid=1671030573&sr=8-56,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81vDZyJQ-4L._AC_UY218_.jpg
"(Renewed) Samsung Galaxy A23 Light Blue, 6GB RAM, 128GB Storage Without Offers","₹14,499",3.4 out of 5 stars,13,https://www.amazon.in/Renewed-Samsung-Galaxy-Storage-Without/dp/B0BCPPW3CG/ref=sr_1_57?keywords=samsung+m13&qid=1671030573&sr=8-57,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/71eqnu0wdDL._AC_UY218_.jpg
"Samsung Galaxy A13 Blue, 4GB RAM, 64GB Storage with No Cost EMI/Additional Exchange Offers, (SM-A135FLBGINS)","₹14,499",3.9 out of 5 stars,929,https://www.amazon.in/Samsung-Storage-Additional-Exchange-SM-A135FLBGINS/dp/B09VK3G99F/ref=sr_1_58?keywords=samsung+m13&qid=1671030573&sr=8-58,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81i1A1MgXBL._AC_UY218_.jpg
"Samsung Galaxy A33 5G Light Blue, 6GB RAM, 128GB Storage","₹25,999",3.7 out of 5 stars,194,https://www.amazon.in/Samsung-Galaxy-Light-128GB-Storage/dp/B09WR4JRTG/ref=sr_1_59?keywords=samsung+m13&qid=1671030573&sr=8-59,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81JF9H3Y6EL._AC_UY218_.jpg
"Samsung Galaxy A13 Green, 4GB RAM, 128GB Storage","₹14,990",4.0 out of 5 stars,1,https://www.amazon.in/Samsung-Galaxy-Green-128GB-Storage/dp/B0BDRNCMV7/ref=sr_1_60?keywords=samsung+m13&qid=1671030573&sr=8-60,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/811YcLl4qNL._AC_UY218_.jpg
"(Renewed) Samsung Galaxy A13 Blue, 4GB RAM, 128GB Storage with No Cost EMI/Additional Exchange Offers, (SM-A135FLBHINS)","₹11,889",2.8 out of 5 stars,15,https://www.amazon.in/Renewed-Samsung-Additional-Exchange-SM-A135FLBHINS/dp/B09Z87JS8N/ref=sr_1_61?keywords=samsung+m13&qid=1671030573&sr=8-61,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81i1A1MgXBL._AC_UY218_.jpg
"(Renewed) Samsung Galaxy F23 5G (Copper Blush,6GB RAM, 128GB Storage)","₹16,990",3.0 out of 5 stars,2,https://www.amazon.in/Samsung-Galaxy-Copper-Blush-128GB/dp/B0BJ2WSG85/ref=sr_1_62?keywords=samsung+m13&qid=1671030573&sr=8-62,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41PCnHIHxLL._AC_UY218_.jpg
"Samsung Galaxy A53 Black, 6GB RAM, 128GB Storage","₹31,999",3.8 out of 5 stars,73,https://www.amazon.in/Samsung-Galaxy-Black-128GB-Storage/dp/B09VGGQGNK/ref=sr_1_63?keywords=samsung+m13&qid=1671030573&sr=8-63,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51En6h3l1KL._AC_UY218_.jpg
"Samsung Galaxy S20 FE 5G (Cloud Mint, 8GB RAM, 128GB Storage)","₹37,990",4.2 out of 5 stars,"26,896",https://www.amazon.in/Samsung-Galaxy-Cloud-128GB-Storage/dp/B08VB2MRF8/ref=sr_1_64?keywords=samsung+m13&qid=1671030573&sr=8-64,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/812yohjGZ2L._AC_UY218_.jpg
Samsung 310 Guru Music 2 Mobile Phone Black Color,"₹2,299",5.0 out of 5 stars,2,https://www.amazon.in/Samsung-Music-Mobile-Phone-Black/dp/B078MM9CBV/ref=sr_1_65?keywords=samsung+m13&qid=1671030573&sr=8-65,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41nK30Wp9AL._AC_UY218_.jpg
"Samsung Galaxy M13 5G (Aqua Green, 4GB, 64GB Storage) | 5000mAh Battery | Upto 8GB RAM with RAM Plus","₹13,999",4.0 out of 5 stars,"16,878",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MDAzOTYyMzUyMTMyMzAxOjE2NzEwMzA1NzQ6c3BfYXRmX25leHQ6MjAwNjMyMjA0MDMyOTg6OjA6Og&url=%2FSamsung-Galaxy-Storage-5000mAh-Battery%2Fdp%2FB0B4F3G74S%2Fref%3Dsr_1_65_sspa%3Fkeywords%3Dsamsung%2Bm13%26qid%3D1671030574%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81AQybT5k6L._AC_UY218_.jpg
"Samsung Galaxy S22 Ultra 5G (Phantom White, 12GB, 256GB Storage) Galaxy Watch4","₹1,12,998",4.4 out of 5 stars,"1,388",https://www.amazon.in/Samsung-Galaxy-Phantom-Storage-Watch4/dp/B09SZSKMF7/ref=sr_1_66?keywords=samsung+m13&qid=1671030574&sr=8-66,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81HbnJex3ZL._AC_UY218_.jpg
"(Renewed) Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera","₹9,999",3.5 out of 5 stars,105,https://www.amazon.in/Renewed-Samsung-Galaxy-Storage-Processor/dp/B094PSH6NX/ref=sr_1_67?keywords=samsung+m13&qid=1671030574&sr=8-67,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51vUiBbZDgS._AC_UY218_.jpg
"(Renewed) Samsung Galaxy A03 Core (Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","₹7,479",3.8 out of 5 stars,7,https://www.amazon.in/Renewed-Samsung-Storage-Additional-Exchange/dp/B09QCP548W/ref=sr_1_68?keywords=samsung+m13&qid=1671030574&sr=8-68,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51jsGEsWtAL._AC_UY218_.jpg
"Samsung Galaxy F42 5G (Matte Aqua, 128 GB) (8 GB RAM) 5000 Mah Battery 64MP + 5MP + 2MP Camera 90Hz Refresh Rate","₹18,990",3.6 out of 5 stars,25,https://www.amazon.in/SAMSUNG-Galaxy-Battery-Camera-Refresh/dp/B09RB7P3YV/ref=sr_1_69?keywords=samsung+m13&qid=1671030574&sr=8-69,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/71pX5typJIL._AC_UY218_.jpg
"Samsung Galaxy A33 5G Black, 6GB RAM, 128GB Storage","₹25,999",3.7 out of 5 stars,194,https://www.amazon.in/Samsung-Galaxy-Black-128GB-Storage/dp/B09WQCVGVS/ref=sr_1_70?keywords=samsung+m13&qid=1671030574&sr=8-70,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81hoUVEzXNL._AC_UY218_.jpg
"Samsung Galaxy M33 5G (Emerald Brown, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Travel Adapter to be Purchased Separately","₹18,999",4.1 out of 5 stars,"21,075",https://www.amazon.in/Samsung-Emerald-Storage-Purchased-Separately/dp/B0B14MR9L1/ref=sr_1_71?keywords=samsung+m13&qid=1671030574&sr=8-71,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81lnKynSaqL._AC_UY218_.jpg
"(Renewed) SAMSUNG Galaxy F23 5G (Aqua Blue, 6GB RAM 128GB Storage)","₹17,199",3.8 out of 5 stars,9,https://www.amazon.in/Renewed-SAMSUNG-Galaxy-128GB-Storage/dp/B0BGHF27MT/ref=sr_1_73?keywords=samsung+m13&qid=1671030574&sr=8-73,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41QDZYBDoZL._AC_UY218_.jpg
"Samsung Galaxy A13 Blue, 6GB RAM, 128GB Storage with No Cost EMI/Additional Exchange Offers, (SM-A135FLBJINS)","₹16,999",3.9 out of 5 stars,929,https://www.amazon.in/Samsung-Storage-Additional-Exchange-SM-A135FLBJINS/dp/B09VKCRFP1/ref=sr_1_74?keywords=samsung+m13&qid=1671030574&sr=8-74,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81i1A1MgXBL._AC_UY218_.jpg
"(Renewed) Samsung Galaxy F12 (Celestial Black, 64 GB) (4 GB RAM)","₹10,280",3.6 out of 5 stars,27,https://www.amazon.in/Renewed-Samsung-Galaxy-Celestial-Black/dp/B09B5115GQ/ref=sr_1_75?keywords=samsung+m13&qid=1671030574&sr=8-75,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/21kPkCYg1yL._AC_UY218_.jpg
"(Renewed) Samsung Galaxy A13 Blue, 6GB RAM, 128GB Storage with No Cost EMI/Additional Exchange Offers","₹14,449",2.8 out of 5 stars,15,https://www.amazon.in/Renewed-Samsung-Storage-Additional-Exchange/dp/B09X1N5DW3/ref=sr_1_76?keywords=samsung+m13&qid=1671030574&sr=8-76,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81i1A1MgXBL._AC_UY218_.jpg
"(Renewed) SAMSUNG Galaxy F42 5G (Matte Aqua, 6GB RAM 128GB Storage)","₹18,900",2.3 out of 5 stars,4,https://www.amazon.in/Renewed-SAMSUNG-Galaxy-Matte-Storage/dp/B09WV286BW/ref=sr_1_77?keywords=samsung+m13&qid=1671030574&sr=8-77,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/61rUYNR3V-L._AC_UY218_.jpg
"(Renewed) Samsung Galaxy F22 (Denim Blue, 6GB RAM, 128GB Storage)","₹13,990",2.5 out of 5 stars,14,https://www.amazon.in/Renewed-Samsung-Galaxy-Denim-Storage/dp/B09F3HMG8Z/ref=sr_1_78?keywords=samsung+m13&qid=1671030574&sr=8-78,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31xresQTxuL._AC_UY218_.jpg
"(Renewed) Samsung Galaxy M21 2021 Edition - Charcoal Black, 4GB RAM, 64GB Storage - FHD+ sAMOLED","₹10,999",3.6 out of 5 stars,20,https://www.amazon.in/Renewed-Samsung-Galaxy-M21-2021/dp/B09LHZCPDT/ref=sr_1_79?keywords=samsung+m13&qid=1671030574&sr=8-79,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/71MiO6xLLyL._AC_UY218_.jpg
"(Renewed) Samsung Galaxy F13 (Waterfall Blue,4GB RAM, 128GB Storage)","₹12,490",,,https://www.amazon.in/Samsung-Galaxy-F13-Waterfall-128GB/dp/B0BJ2Z5DNV/ref=sr_1_80?keywords=samsung+m13&qid=1671030574&sr=8-80,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41iwB+fNiqL._AC_UY218_.jpg
"Samsung Galaxy A13 Black, 4GB RAM, 64GB Storage with No Cost EMI/Additional Exchange Offers, (SM-A135FZKGINS)","₹14,499",3.9 out of 5 stars,929,https://www.amazon.in/Samsung-Storage-Additional-Exchange-SM-A135FZKGINS/dp/B09VKG47D8/ref=sr_1_81?keywords=samsung+m13&qid=1671030574&sr=8-81,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81H6vveSIZL._AC_UY218_.jpg
"Samsung Galaxy M13 5G (Stardust Brown, 4GB, 64GB Storage) | 5000mAh Battery | Upto 8GB RAM with RAM Plus","₹13,999",4.0 out of 5 stars,"16,878",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MTAzOTM2MTA1NzM5MzgzOjE2NzEwMzA1NzY6c3BfYXRmX25leHQ6MjAwNjMyMjA0MDM2OTg6OjA6Og&url=%2FSamsung-Stardust-Storage-5000mAh-Battery%2Fdp%2FB0B4F2YTYN%2Fref%3Dsr_1_81_sspa%3Fkeywords%3Dsamsung%2Bm13%26qid%3D1671030576%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81-7A8yfUpL._AC_UY218_.jpg
"Samsung Galaxy M52 5G (ICY Blue, 8GB RAM, 128GB Storage) Latest Snapdragon 778G 5G | sAMOLED 120Hz Display","₹28,999",4.2 out of 5 stars,"20,330",https://www.amazon.in/Samsung-Storage-Snapdragon-sAMOLED-Display/dp/B09CV7BGWP/ref=sr_1_84?keywords=samsung+m13&qid=1671030576&sr=8-84,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81-tqKsrTuL._AC_UY218_.jpg
